,Road name,Link no,Link Name,Start LRP,Start Offset,Start Chainage,End LRP,End Offset,End Chainage,Link Length,Economic Traffic,No Lanes,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized Total,Non Motorized Total,Total Traffic
0,N1,N1-1,Jatrabari - Int.with Z1101 (Left) (Left),LRPS,0,0,LRPS,822,0.822,0.822,14940.5,5,531,5998.5,1350.5,2793,748.5,2065,359,2229.5,2744,417,222.5,988.5,0,19236,1211,20447
2,N1,N1-2R,Int.with Z1101 - Signboard (Left) R111 (Right),LRPS,822,0.822,LRPS,4175,4.175,3.353,14037,4,402,5842,1147,2842,526,2010,238,1851,2980,398,232,889,0,18236,1121,19357
3,N1,N1-3,Signboard - Shimrail (Left)R110 (Left),LRPS,4175,4.175,LRPS,7181,7.181,3.006,7632.5,2,88,2625,2118.5,2473,1730.5,1603.5,306,1649.5,2211.5,1061,73.5,1169,0,15866.5,1242.5,17109
5,N1,N1-4,Shimrail - Katchpur (Left)N2 (Left),LRPS,7181,7.181,LRP009,260,8.763,1.582,7813.5,2,163.5,2930,1463,2507,1406,1357,332.5,1763.5,2923.5,1152.5,364,1304,0,15998.5,1668,17666.5
7,N1,N1-5,Katchpur - Madanpur (Left)N105 (Left),LRP009,260,8.763,LRP012,439,11.936,3.173,13224,6,163.5,4692,3349.5,3088,2599.5,2269,297,1842,3117,1148.5,364,1304,0,22566,1668,24234
9,N1,N1-6,Madanpur - Langalband (Left)Z1061 (Left),LRP012,439,11.936,LRP013,3411,15.935,3.999,13224,4,163.5,4692,3349.5,3088,2599.5,2269,297,1842,3117,1148.5,364,1304,0,22566,1668,24234
11,N1,N1-7,Langalband - Mograpara Chowrasta (Left)Z1089 (Left),LRP013,3411,15.935,LRP013,7520,20.044,4.109,13224,2,163.5,4692,3349.5,3088,2599.5,2269,297,1842,3117,1148.5,364,1304,0,22566,1668,24234
13,N1,N1-8,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left),LRP013,7520,20.044,LRP022,1935,23.564,3.52,12272,2,299.5,5156.5,1060.5,1710,705,1655,399.5,2049,1242,212,34,163.5,0,14489,197.5,14686.5
15,N1,N1-9,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left),LRP022,1935,23.564,LRP031,162,30.936,7.372,12272,2,299.5,5156.5,1060.5,1710,705,1655,399.5,2049,1242,212,34,163.5,0,14489,197.5,14686.5
17,N1,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left),LRP031,162,30.936,LRP033,3664,36.271,5.335,12272,2,299.5,5156.5,1060.5,1710,705,1655,399.5,2049,1242,212,34,163.5,0,14489,197.5,14686.5
19,N1,N1-11,Daudkandi Bridge- Daudkandi Z1062 (Left),LRP033,3664,36.271,LRP033,5859,38.466,2.195,12272,2,299.5,5156.5,1060.5,1710,705,1655,399.5,2049,1242,212,34,163.5,0,14489,197.5,14686.5
21,N1,N1-12,Daudkandi Z1062 - Pennai Z1053 (Left),LRP033,5859,38.466,LRP043,3119,45.388,6.922,11663,5,353.5,4856.5,889.5,1632,599,697,397.5,1087.5,793,165,35,126.5,0,11470.5,161.5,11632
23,N1,N1-13,Pennai Z1053- Gouripur (Int.with Z1044) (Left),LRP043,3119,45.388,LRP043,4955,47.224,1.836,11663,4,353.5,4856.5,889.5,1632,599,697,397.5,1087.5,793,165,35,126.5,0,11470.5,161.5,11632
25,N1,N1-14,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Left),LRP043,4955,47.224,LRP043,13208,55.477,8.253,11663,2,353.5,4856.5,889.5,1632,599,697,397.5,1087.5,793,165,35,126.5,0,11470.5,161.5,11632
27,N1,N1-15,Eliotganj Z1042- Madhaya Z1017 (Left),LRP043,13208,55.477,LRP043,20009,62.278,6.801,11663,2,353.5,4856.5,889.5,1632,599,697,397.5,1087.5,793,165,35,126.5,0,11470.5,161.5,11632
29,N1,N1-16,Madhaya Z1017 - Chandina Z1022 (Left),LRP043,20009,62.278,LRP067,3912,69.638,7.36,11663,6,353.5,4856.5,889.5,1632,599,697,397.5,1087.5,793,165,35,126.5,0,11470.5,161.5,11632
31,N1,N1-17,Chandina Z1022 - Nimsar (Int.with Z1219 & Z1028) (Left),LRP067,3912,69.638,LRP076,1760,75.589,5.951,12545.5,4,322,5429,721.5,1843.5,464,998,404,1128.5,1951.5,554.5,112,179,0,13816.5,291,14107.5
33,N1,N1-18,Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Left),LRP076,1760,75.589,LRP076,8017,81.846,6.257,12545.5,2,322,5429,721.5,1843.5,464,998,404,1128.5,1951.5,554.5,112,179,0,13816.5,291,14107.5
35,N1,N1-19,Mainamati N102- Int.with Z1029 (Left),LRP076,8017,81.846,LRP076,12068,85.897,4.051,12545.5,2,322,5429,721.5,1843.5,464,998,404,1128.5,1951.5,554.5,112,179,0,13816.5,291,14107.5
37,N1,N1-20,Int.with Z1029 - Int.with Z1052 (Left),LRP076,12068,85.897,LRP076,13537,87.366,1.469,12545.5,2,322,5429,721.5,1843.5,464,998,404,1128.5,1951.5,554.5,112,179,0,13816.5,291,14107.5
39,N1,N1-21,Int.with Z1052 - Changani (Kotbari) (Left),LRP076,13537,87.366,LRP091,897,89.41,2.044,13054.5,2,307.5,5661.5,809,1331,314,519,269.5,778.5,1420.5,377,68,143.5,0,11787.5,211.5,11999
41,N1,N1-22,Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Left),LRP091,897,89.41,LRP093,1090,91.583,2.173,13054.5,2,307.5,5661.5,809,1331,314,519,269.5,778.5,1420.5,377,68,143.5,0,11787.5,211.5,11999
43,N1,N1-23,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Left),LRP093,1090,91.583,LRP105,3631,105.879,14.296,13054.5,2,307.5,5661.5,809,1331,314,519,269.5,778.5,1420.5,377,68,143.5,0,11787.5,211.5,11999
45,N1,N1-24,Miabazar Z1046 - Chauddagram(Int.with Z1045) (Left),LRP105,3631,105.879,LRP105,17450,119.698,13.819,13054.5,6,307.5,5661.5,809,1331,314,519,269.5,778.5,1420.5,377,68,143.5,0,11787.5,211.5,11999
47,N1,N1-25,Chauddagram(Int.with Z1045)-Md. Ali bazar (Int.with Z1031) (Left),LRP105,17450,119.698,LRP142,230,138.869,19.171,9433,4,428.5,3676.5,794.5,770.5,309,681,278.5,548.5,844.5,338.5,34.5,118,0,8670,152.5,8822.5
49,N1,N1-26,Md. Ali bazar (Int.with Z1031)-Int.with Z1031 (Left),LRP142,230,138.869,LRP143,500,140.251,1.382,9433,2,428.5,3676.5,794.5,770.5,309,681,278.5,548.5,844.5,338.5,34.5,118,0,8670,152.5,8822.5
51,N1,N1-27,Int.with Z1031 - Elahiganj (Feni) Z1030 (Left),LRP143,500,140.251,LRP146,240,143.034,2.783,12843.5,2,677,4804,1204.5,2078.5,627.5,977.5,232.5,764.5,1444,378.5,120,231.5,0,13188.5,351.5,13540
53,N1,N1-28,Elahiganj (Feni) Z1030- Feni (Int.with N104) (Left),LRP146,240,143.034,LRP147,1614,145.409,2.375,12843.5,2,677,4804,1204.5,2078.5,627.5,977.5,232.5,764.5,1444,378.5,120,231.5,0,13188.5,351.5,13540
55,N1,N1-29,Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) (Left),LRP147,1614,145.409,LRP152,448,149.289,3.88,14183,6,352.5,5765.5,1594.5,1595,649.5,1163,320,1025.5,1259,412,92.5,197.5,0,14136.5,290,14426.5
57,N1,N1-30,Feni Shahid Minar( Int.with Z1034)-Fazilpur (Z1081) (Left),LRP152,448,149.289,LRP160,738,157.685,8.396,12435,4,415,5049.5,1091,1566.5,266,694,258.5,903,843.5,197,212,164.5,0,11284,376.5,11660.5
59,N1,N1-31,Fazilpur Z1081 - Muhuriganj Z1032 (Left),LRP160,738,157.685,LRP164,619,161.582,3.897,14183,2,352.5,5765.5,1594.5,1595,649.5,1163,320,1025.5,1259,412,92.5,197.5,0,14136.5,290,14426.5
61,N1,N1-32,Muhuriganj Z1032-Baraiyerhat R151 (Left),LRP164,619,161.582,LRP164,6720,167.683,6.101,10099,2,371,3986,1014,1335.5,532.5,758.5,298,770,2275.5,331.5,92,266.5,0,11672.5,358.5,12031
63,N1,N1-33,Baraiyerhat R151- Mirersarai Z1021 (Left),LRP164,6720,167.683,LRP164,20501,181.464,13.781,10099,4,371,3986,1014,1335.5,532.5,758.5,298,770,2275.5,331.5,92,266.5,0,11672.5,358.5,12031
65,N1,N1-34,Mirersarai Z1021 - Baroirdala Z1086 (Left),LRP164,20501,181.464,LRP197,1120,194.603,13.139,10099,2,371,3986,1014,1335.5,532.5,758.5,298,770,2275.5,331.5,92,266.5,0,11672.5,358.5,12031
67,N1,N1-35,Baroirdala Z1086- Barabkunda Z1087 (Left),LRP197,1120,194.603,LRP209,486,206.402,11.799,14981.5,2,1101.5,5224.5,1228,1573.5,607.5,862,238.5,803,2799.5,433,101,319,0,14871,420,15291
69,N1,N1-36,Barabkunda Z1087-Fouzderhat Z1016 (Left),LRP209,486,206.402,LRP225,6400,228.406,22.004,14981.5,6,1101.5,5224.5,1228,1573.5,607.5,862,238.5,803,2799.5,433,101,319,0,14871,420,15291
71,N1,N1-37,Fouzderhat Z1016 - Alonker Cinema Hall (Chittagong),LRP225,6400,228.406,LRP225,10748,232.754,4.348,3081,4,21,1105,808,898,621,987,194,694,2994,581,221,426,0,8903,647,9550
72,N1,N1-38,Chittagong (Badderhat)-Maizzertek int with Z1804,LRP225,10748,232.754,LRP251,496,247.893,15.139,3081,2,21,1105,808,898,621,987,194,694,2994,581,221,426,0,8903,647,9550
73,N1,N1-39,Maizzertek Int with Z1804-Sikolbaha Int with Z1018,LRP251,496,247.893,LRP251,3048,250.445,2.552,3081,2,21,1105,808,898,621,987,194,694,2994,581,221,426,0,8903,647,9550
74,N1,N1-40,Sikolbaha Int with Z1018-Santirhat Int. with Z1071,LRP251,3048,250.445,LRP251,5559,252.956,2.511,3081,2,21,1105,808,898,621,987,194,694,2994,581,221,426,0,8903,647,9550
75,N1,N1-41,Santirhat Int. with Z1071 - Int. with Z1070,LRP251,5559,252.956,LRP259,726,255.725,2.769,3081,2,21,1105,808,898,621,987,194,694,2994,581,221,426,0,8903,647,9550
76,N1,N1-42,Int. with Z1070 - Mansertek(Int.with N107),LRP259,726,255.725,LRP259,1810,256.809,1.084,3039,2,30,1077,795,994,658,1483,305,658,3125,536,207,240,7,9661,454,10115
77,N1,N1-43,Mansertek(Int.with N107)- Patiya (Int.with Z1059),LRP259,1810,256.809,LRP264,3734,263.744,6.935,3039,1,30,1077,795,994,658,1483,305,658,3125,536,207,240,7,9661,454,10115
78,N1,N1-44,Patiya (Int.with Z1059) - Patiya Dakbanglo (Int.with Z1057),LRP264,3734,263.744,LRP264,4060,264.07,0.326,3316,3,24,1181,882,802,639,1307,196,840,4070,910,819,3156,0,10851,3975,14826
79,N1,N1-45,Patiya Dakbanglo (Int.with Z1057) - Patiya (Int.with Z1039),LRP264,4060,264.07,LRP264,5400,265.41,1.34,3316,4,24,1181,882,802,639,1307,196,840,4070,910,819,3156,0,10851,3975,14826
80,N1,N1-46,Patiya (Int.with Z1039)-Khanhat Int.with Z1026,LRP264,5400,265.41,LRP277,1763,274.982,9.572,3316,2,24,1181,882,802,639,1307,196,840,4070,910,819,3156,0,10851,3975,14826
81,N1,N1-47,Khanhat Int.with Z1026 - Hashimpur Z1036,LRP277,1763,274.982,LRP281,700,278.013,3.031,2878,2,23,786,1237,944,92,1267,109,811,6505,905,220,843,0,12679,1063,13742
82,N1,N1-48,Hashimpur Z1036- Keranirhat N108,LRP281,700,278.013,LRP291,2558,289.612,11.599,2878,2,23,786,1237,944,92,1267,109,811,6505,905,220,843,0,12679,1063,13742
83,N1,N1-49,Keranirhat N108 - Int.with Z1019,LRP291,2558,289.612,LRP291,2920,289.974,0.362,2878,3,23,786,1237,944,92,1267,109,811,6505,905,220,843,0,12679,1063,13742
84,N1,N1-50,"Int.with Z1019 - Lohagara, Bara Aulia (Int.with Z1013)",LRP291,2920,289.974,LRP299,2769,297.441,7.467,2878,3,23,786,1237,944,92,1267,109,811,6505,905,220,843,0,12679,1063,13742
85,N1,N1-51,"Lohagara, Bara Aulia (Int.with Z1013) - Chunati R171",LRP299,2769,297.441,LRP312,171,307.582,10.141,6069,1,42,2364,1215,1015,787,2025,345,1013,1668,779,642,728,0,11253,1370,12623
86,N1,N1-52,Chunati R171 - Aziznagar Z1007,LRP312,171,307.582,LRP320,308,315.728,8.146,6069,4,42,2364,1215,1015,787,2025,345,1013,1668,779,642,728,0,11253,1370,12623
87,N1,N1-53,Aziznagar (Int.with Z1007)-Harbang (Int.with Z1124),LRP320,308,315.728,LRP321,63,316.356,0.628,6069,3,42,2364,1215,1015,787,2025,345,1013,1668,779,642,728,0,11253,1370,12623
88,N1,N1-54,Harbang (Int.with Z1124) - Ekatabazar Z1125,LRP321,63,316.356,LRP328,485,323.842,7.486,6069,4,42,2364,1215,1015,787,2025,345,1013,1668,779,642,728,0,11253,1370,12623
89,N1,N1-55,Ekatabazar Z1125 - Baraitali Int.with Z1002,LRP328,485,323.842,LRP331,844,327.188,3.346,1929,2,44,774,249,749,144,1058,202,661,1133,552,233,267,0,5566,500,6066
90,N1,N1-56,Baraitali Int.with Z1002-Int.with Z1126,LRP331,844,327.188,LRP335,500,330.874,3.686,1929,2,44,774,249,749,144,1058,202,661,1133,552,233,267,0,5566,500,6066
91,N1,N1-57,Int.with Z1126-Janatabazar (Int.with Z1127),LRP335,500,330.874,LRP336,764,332.066,1.192,1929,2,44,774,249,749,144,1058,202,661,1133,552,233,267,0,5566,500,6066
92,N1,N1-58,Janatabazar (Int.with Z1127) - Chokoria R172,LRP336,764,332.066,LRP336,1575,332.877,0.811,1929,3,44,774,249,749,144,1058,202,661,1133,552,233,267,0,5566,500,6066
93,N1,N1-59,Chokoria R172 - Faishakhali Z1005,LRP336,1575,332.877,LRP341,852,337.31,4.433,2684,3,39,1009,549,784,238,1018,165,318,2511,1443,428,4183,0,8074,4611,12685
94,N1,N1-60,Faishakhali Z1005- Dulahazra Z1130,LRP341,852,337.31,LRP348,96,343.559,6.249,1454,1,35,595,159,412,136,760,118,109,1548,403,118,450,0,4275,568,4843
95,N1,N1-61,Dulahazra Z1130-Khutakhali Z1131,LRP348,96,343.559,LRP354,509,350.054,6.495,1454,4,35,595,159,412,136,760,118,109,1548,403,118,450,0,4275,568,4843
96,N1,N1-62,Khutakhali Z1131 - Ramu (Int.with Z1001),LRP354,509,350.054,LRP376,57,370.982,20.928,1454,2,35,595,159,412,136,760,118,109,1548,403,118,450,0,4275,568,4843
97,N1,N1-63,Ramu (Int.with Z1001)-Ramu Intersection N109,LRP376,57,370.982,LRP378,593,373.475,2.493,1454,2,35,595,159,412,136,760,118,109,1548,403,118,450,0,4275,568,4843
98,N1,N1-64,Ramu Intersection N109 - Coxsbazar Link Road N110,LRP378,593,373.475,LRP386,724,381.481,8.006,1454,6,35,595,159,412,136,760,118,109,1548,403,118,450,0,4275,568,4843
99,N1,N1-65,Coxsbazar Link Road N110-Maricha Z1009,LRP386,724,381.481,LRP403,217,398.205,16.724,1119,4,24,455,137,129,200,568,131,142,2476,419,97,1042,0,4681,1139,5820
100,N1,N1-66,Maricha Z1009-Ukhia Dakbanglo Z1503,LRP403,217,398.205,LRP413,300,408.434,10.229,1119,2,24,455,137,129,200,568,131,142,2476,419,97,1042,0,4681,1139,5820
101,N1,N1-67,Ukhia Dakbanglo Z1503 - Gundum Z1504,LRP413,300,408.434,LRP420,900,416.044,7.61,1119,2,24,455,137,129,200,568,131,142,2476,419,97,1042,0,4681,1139,5820
102,N1,N1-68,GundumGundum Z1504 - Whykong Z1133,LRP420,900,416.044,LRP433,521,428.908,12.864,1119,2,24,455,137,129,200,568,131,142,2476,419,97,1042,0,4681,1139,5820
103,N1,N1-69,Whykong Z1133 - Teknaf,LRP433,521,428.908,LRP467,130,462.254,33.346,1119,2,24,455,137,129,200,568,131,142,2476,419,97,1042,0,4681,1139,5820