,name,LRPName,Road_segment_no,condition
13,Darikandi Bridge (R),LRP018b,N1-7,A
14,Darikandi Bridge (L),LRP018a,N1-7,A
15,Sonakhal Bridge(L),LRP018c,N1-7,A
16,KRIBORDI BOX CULVERT,LRP020a,N1-7,A
70,MIABAZAR BOX CULVERT,LRP107a,N1-24,A
71,NOYA BAZER BOX CULVERT,LRP109a,N1-24,A
72,LALGORE BEZER CULVERT,LRP111a,N1-24,A
73,SUPUYA BOX CULVERT,LRP112a,N1-24,A
74,BALUZURI 2 CULVERT,LRP118d,N1-24,A
75,KALIR BAZAR BOX CULVERT,LRP119a,N1-24,A
76,CHADDAGRAM BAZAR BOX CULVERT,LRP120b,N1-24,A
139,BARO-CUNDHOW BOX CULVERT,LRP209a,N1-36,A
140,PHPMORE BON CULVERT,LRP210a,N1-36,A
141,CHARA KANDI BOX CULVERT,LRP210b,N1-36,A
142,R. R TEXTAIL BOX CULVERT,LRP210d,N1-36,A
143,OHIDPUR BOX CULVERT,LRP211a,N1-36,A
144,SOUTH BALSH KHALI BOX CULVERT,LRP213a,N1-36,A
145,DOKHIN BASH-KHALI BOX CULVERT,LRP213b,N1-36,A
146,SOTTANA MONDIR CULVERT,LRP214a,N1-36,A
147,GULAM JUTE MILE BOX CULVERT,LRP215a,N1-36,A
148,Chotokumir Bridge,LRP217a,N1-36,A
149,ROYL CIMINT GATE CULVETRT,LRP218a,N1-36,A
150,GORA MARA RCC GIRDER BRIDGE,LRP218b,N1-36,A
151,BARAOWLLA BOX CULVERT,LRP220a,N1-36,A
152,HATIBORI BOX CULVERT,LRP221a,N1-36,A
153,KODOM RASUL BOX CULVERT,LRP224a,N1-36,A
154,HASNA BAD BOX CULVERT,LRP226a,N1-36,A
155,VATERIE BRIDGE,LRP226b,N1-36,A
156,VATIARI CULVERT,LRP230a,N1-36,A
392,LAMBA-BIL PORA,LRP425e,N1-69,A
393,LAMBABIL MIDDLE PARA,LRP426a,N1-69,A
394,LAMBABIL MIDDLE,LRP426b,N1-69,A
395,LAMBA - BIL - (1) BOX CULVERT,LRP426c,N1-69,A
396,LAM BA BIL (2) BOX CULVERT,LRP426d,N1-69,A
397,LAMBA BIL (3) BOX CULVERT,LRP426e,N1-69,A
398,UNCHI - PRANG BRIDGE,LRP427b,N1-69,A
399,ON SIFAPAING BOX CULVERT,LRP427d,N1-69,A
400,UNCHING OPLONG CULVERT (1),LRP427e,N1-69,A
401,KUTUB DIA PARA (1) CULVERT,LRP428a,N1-69,A
402,KUTUB DIA PARA CULVERT,LRP428b,N1-69,A
403,KUTUB - DIA PARA (3),LRP428c,N1-69,A
404,KANGOR PARA,LRP428d,N1-69,A
405,KANGOR PARA MOZGID,LRP429a,N1-69,A
406,KHAN GIOR PARA (1),LRP429b,N1-69,A
407,KHANGOR PRAMARY (2),LRP429c,N1-69,A
408,Khan Gor Para Bridge,LRP429d,N1-69,A
409,RHANCHOR PARA BOX CULVERT,LRP429f,N1-69,A
410,KHANCHOR PARA (2),LRP430a,N1-69,A
411,KHANCHOR PARA- BOX CULVERT,LRP430b,N1-69,A
412,NOYA PARA (1) BOX CULVERT,LRP430c,N1-69,A
413,NAYAPARA,LRP431a,N1-69,A
414,NOYA PARA,LRP431b,N1-69,A
415,NINA BAZAR BOX CULVERT,LRP432a,N1-69,A
416,ALI AXBAR PARA BOX CULVERT,LRP435c,N1-69,A
417,NILLA BOX CULVERT (1),LRP437a,N1-69,A
418,NILA. BARAR BOX CULVERT,LRP437b,N1-69,A
419,NILA - DORGA- PARA-(1) BOX,LRP438a,N1-69,A
420,NILA DOGA PARA BOX CULVERT,LRP438b,N1-69,A
421,NAT MURA PARA BOX CULVERT,LRP438c,N1-69,A
422,Ladapara Bridge,LRP443a,N1-69,A
423,NAYAPARA BOX CULVERT,LRP443c,N1-69,A
424,NAYA PARA BOX CULVERT,LRP444a,N1-69,A
425,NOYA PARA CULVERT,LRP444c,N1-69,A
426,NOYA PARA CULVERT,LRP444d,N1-69,A
427,NOYA PARA (MUSJID) BOX CULVERT(L),LRP444e,N1-69,A
428,NOYA PARA BOX CULVERT(R),LRP444e,N1-69,A
429,Noya Para Bridge,LRP445a,N1-69,A
430,NOYA PARA (BRAC SCHOOL),LRP445a,N1-69,A
431,JADIMORH BOX CULVERT,LRP445d,N1-69,A
432,Jadimura bridge,LRP446a,N1-69,A
433,JADIMURA BRIDGE.,LRP446a,N1-69,A
434,Umor khali Bridge,LRP446b,N1-69,A
435,DONDO MIA BOX CULVERT,LRP446d,N1-69,A
436,DONDO MIA BOX CULVERT,LRP447a,N1-69,A
437,DOMMO MIA BOX CULVERT,LRP447b,N1-69,A
438,Domodia Bridge(1),LRP448c,N1-69,A
439,Domdomia Bridge(2),LRP449a,N1-69,A
440,DONDOMIA,LRP449c,N1-69,A
441,KARUNTON BOX CULVERT,LRP450c,N1-69,A
442,Karumtoli choto(1) Bridge,LRP450d,N1-69,A
443,KARUM TOLI SHOTHA (1),LRP450d,N1-69,A
444,SHOLO BANDOR TAKNAF,LRP450e,N1-69,A
445,KARUMTOLI (3)BOX CULVERT,LRP451b,N1-69,A
446,Karumtoli(1) Bridge,LRP451c,N1-69,A
447,KARUM TOLI BOX CULVERT,LRP451e,N1-69,A
448,Karumtoli(2) Bridge,LRP451f,N1-69,A
449,Karumtoli (3) Bridge,LRP451h,N1-69,A
450,KARUM TOLI RCC GIDER BRIDGE,LRP451h,N1-69,A
451,Polashir Bridge,LRP451i,N1-69,A
452,KARAN TOLI RCC GIDER BRIDGE,LRP451i,N1-69,A
453,BAROY TOLI RCC GIDER BRIDGE,LRP452a,N1-69,A
454,BORY TOLI SLAB CULVERT,LRP452c,N1-69,A
455,BORYTOLI SLAB CULVERT,LRP452d,N1-69,A
456,BARITOLI BOX CULVERT,LRP452e,N1-69,A
457,Gilatoli (1) Bridge,LRP452f,N1-69,A
458,Baroytoli Bridge,LRP452h,N1-69,A
459,Baraytoli (3) Bridge,LRP452i,N1-69,A
460,Naiton Para(1) Bridge,LRP452j,N1-69,A
461,Naitom Para (2) Bridge,LRP453a,N1-69,A
462,Naitong Para (3) Bridge,LRP454a,N1-69,A
463,NAITANG PARA RCC GIDER BRIDGE,LRP454a,N1-69,A
464,Naitom Para(4) Bridge,LRP454b,N1-69,A
465,BUS STAND TEKNAF BOX CULVERT,LRP456a,N1-69,A
12707,Langalbandh Bridge.,LRP017b,N1-7,C
12708,MOLLIK PARA BRIDGE (R),LRP019a,N1-7,C
12712,Baldhakhal Bridge,LRP040b,N1-12,C
12713,BALDHA KHAL RCC GIDER BRIDGE,LRP040b,N1-12,C
12714,SHAHID NAGIR,LRP043a,N1-12,C
12715,Shahid Nagor Bridge,LRP043a,N1-12,C
12716,SARKAR BARI CULVERT,LRP046a,N1-12,C
12735,BORO KUMIRA BRIDGE,LRP217a,N1-36,C
14588,LANGOLBANDO PC GIDER BRIDGE,LRP017b,N1-7,B
14589,DARIKANDI BRIDGE (R),LRP018a,N1-7,B
14590,DARIKANDI BRIDGE (L),LRP018a,N1-7,B
14591,SONARKALI BRIDGE(L),LRP018c,N1-7,B
14592,Sonakhal Bridge(R),LRP018d,N1-7,B
14593,SONARKALI BRIDGE(R),LRP018c,N1-7,B
14594,MOLLIK PARA P.C(L),LRP019a,N1-7,B
14595,Mollik para Bridge(R),LRP019b,N1-7,B
14596,Mollik para Bridge(L),LRP019a,N1-7,B
14606,MAIS PARA BOX CULVERT,LRP040c,N1-12,B
14617,DOLL BARI CULVERT,LRP110a,N1-24,B
14618,DHARMA PUR SLAB CULVERT,LRP110c,N1-24,B
14619,BOWCHI BAZAR CULVERT,LRP113a,N1-24,B
14620,AMAN GONG SLAB CULVERT,LRP114a,N1-24,B
14621,RANGAMATIA (1) BOX CULVERT,LRP116a,N1-24,B
14622,RANGOWATIA 2 CULVERT,LRP116b,N1-24,B
14623,NOWA PARA BOX CULVERT,LRP116c,N1-24,B
14624,HARISHARDE CULVERT,LRP117a,N1-24,B
14625,SONAGATI BOX CULVERT,LRP118a,N1-24,B
14626,BALUJURI BOX CULVERT,LRP118b,N1-24,B
14627,KALIA BAZER BOC CULVERT,LRP119b,N1-24,B
14628,CHAUDDAGARAM BOX CULVERT,LRP120a,N1-24,B
14655,BARSH BARIA BRIDGE,LRP212a,N1-36,B
14656,KYSTELGATE ARCH,LRP215b,N1-36,B
14657,GORA MARI BOX CULVERT,LRP219a,N1-36,B
14658,MUDDO SONAISORI BRIDGE,LRP220b,N1-36,B
14659,SHLAKHAR PAD BRIDGE,LRP223a,N1-36,B
14660,DHAMAKHALI BRIDGE,LRP228a,N1-36,B
14715,TAS SE BRIDGE HOANGK,LRP425c,N1-69,B
14716,KHAN GOR PARA BRIDGE,LRP429d,N1-69,B
14717,GIMON KHALI BRIDGE,LRP431c,N1-69,B
14718,NOYA BAZAR BRIDGE,LRP432b,N1-69,B
14719,NAYA BAZAR BRIDGE,LRP433b,N1-69,B
14720,NAYA BAZAR BRIDGE,LRP433c,N1-69,B
14721,NILA - HOAB RABG BRIDGE,LRP436a,N1-69,B
14722,CHOUDORIY PARA RCC GIDER BRIDGE,LRP439a,N1-69,B
14723,RONGI HALI BOX CULVERT,LRP439c,N1-69,B
14724,NOYAPARA RCC GIDER BRIDGE,LRP443d,N1-69,B
14725,MOSINNI RCC GIDER BRIDGE,LRP444b,N1-69,B
14726,Mosinni Mor Bridge,LRP444b,N1-69,B
14727,JADIMURA (NOYA PARA)BRIDGE,LRP445b,N1-69,B
14728,DONDO MIA CHAK POST BRIDGE,LRP448a,N1-69,B
14729,Dondo Mia Checkpost Bridge,LRP448a,N1-69,B
14730,DOMDO MIA BRIDGE,LRP448c,N1-69,B
14731,DOMDO MIA,LRP449a,N1-69,B
14732,KARUMTOLI,LRP450a,N1-69,B
14733,KAKUM TOLI CHACK BOX CULVERT,LRP451a,N1-69,B
14734,KARUMTOLI,LRP451c,N1-69,B
14735,BARIY TOLI RCC GIDER BRIDGE,LRP452i,N1-69,B
14736,NAITAN PARA RCC GIDER BRIDGE,LRP452j,N1-69,B
14737,NAITOM PARA RCC GIDER BRIDGE,LRP453a,N1-69,B
14738,NAITOM PARA RCC GIDER BRIDGE,LRP454b,N1-69,B
14739,TEKNAF NAITANG RCC GIDER BRIDGE,LRP455a,N1-69,B
15617,SALAKHARPAD BRIDGE,LRP225a,N1-36,C
15698,LAMBA BIL BOX,LRP427a,N1-69,C
15699,Unchi-Prong Bridge,LRP427b,N1-69,C
15700,NOYA PARA (1) BRIDGE,LRP430d,N1-69,C
15701,GIM - MOGARI BRIDGE,LRP431d,N1-69,C
15702,Gim-mogari Bridge,LRP431d,N1-69,C
15703,Noya Bazar(1) Bridge,LRP432b,N1-69,C
15704,NOYA BAZAR CULVERT,LRP433a,N1-69,C
15705,Naya Bazar(3) Bridge,LRP433c,N1-69,C
15706,KHARANG KHALI - BOX CUVERT (1),LRP433d,N1-69,C
15707,KHARANG KHAIL,LRP434a,N1-69,C
15708,MOULIVI BAZAR FISHARI BRIDGE,LRP434b,N1-69,C
15709,MOULOVI BAZAR BOX CULVERT (1),LRP435a,N1-69,C
15710,MOULOVI BAZAR BOX CULVERT,LRP435b,N1-69,C
15711,Nila-Hoab Rabg Bridge,LRP436a,N1-69,C
15712,Chowdhory Para Bridge,LRP439a,N1-69,C
15713,RONGI- KHALI RCC GIDER BRIDGE,LRP440a,N1-69,C
15714,Rongi-Khali Bridge,LRP440a,N1-69,C
15715,ALA KHALI KUNA PARA,LRP441a,N1-69,C
15716,Ala Khali Kuna Para Bridge,LRP441a,N1-69,C
15717,LADA BAZAR BOX CULVERT,LRP442a,N1-69,C
15718,LADAPARA RCC GIDER BRIDGE,LRP443a,N1-69,C
15719,Noya Para Bridge,LRP443d,N1-69,C
15720,Jadirghat Bridge,LRP445b,N1-69,C
15721,DOMDO MIA BRIDGE,LRP446b,N1-69,C
15722,DHANDO MIA,LRP447c,N1-69,C
15723,Dhando Mia Bridge,LRP447c,N1-69,C
15724,DONOMIA,LRP449d,N1-69,C
15725,Domdomia Bridge (3),LRP449d,N1-69,C
15726,Karumtoli Bridge,LRP450a,N1-69,C
15727,Sholo Bandar Teknaf Bridge,LRP450e,N1-69,C
15728,KARUMTOLI BRIDGE,LRP451f,N1-69,C
15729,Baroy toli (1) Bridge,LRP452a,N1-69,C
15730,BAROY TOLI RCC GIDER BRIDGE,LRP452f,N1-69,C
15731,BAROY TOLI RCC GIDER BRIDGE,LRP452h,N1-69,C
15732,Eskahal Bridge,LRP455a,N1-69,C
15733,BUS STAND TEKNAF BOX CULVERT,LRP456b,N1-69,C
15734,YAKNAT BRIDGE,LRP456c,N1-69,C
15735,Yaknat Bridge,LRP456c,N1-69,C
19366,Baro Aulia,LRP220b,N1-36,D
19367,Modonhat Bridge,LRP223a,N1-36,D
19380,Tasse Bridge,LRP425c,N1-69,D
19381,Naya Bazar(2) Bridge,LRP433b,N1-69,D
19382,DONMIA,LRP449f,N1-69,D
